Code,typo
2032,Couronne périurbaine
2033,Couronne périurbaine
2034,Espace rural
2035,Espace rural
2036,Couronne périurbaine
2037,Couronne périurbaine
2038,Espace rural
2039,Espace rural
2040,Espace rural
2041,Pôle urbain
2042,Couronne périurbaine
2043,Couronne périurbaine
2044,Espace rural
2046,Couronne périurbaine
2047,Couronne périurbaine
2048,Couronne périurbaine
2049,Espace rural
2050,Espace rural
2051,Couronne périurbaine
2052,Couronne périurbaine
2053,Espace rural
2054,Couronne périurbaine
2055,Espace rural
2056,Espace rural
2057,Espace rural
2058,Couronne périurbaine
2059,Pôle urbain
2060,Couronne périurbaine
2061,Espace rural
2062,Couronne périurbaine
2063,Couronne périurbaine
2064,Pôle urbain
2065,Couronne périurbaine
2066,Couronne périurbaine
2067,Espace rural
2068,Espace rural
2069,Espace rural
2070,Couronne périurbaine
2071,Couronne périurbaine
2072,Couronne périurbaine
2073,Couronne périurbaine
2074,Espace rural
2075,Couronne périurbaine
2076,Couronne périurbaine
2077,Couronne périurbaine
2078,Espace rural
2079,Espace rural
2080,Couronne périurbaine
2081,Couronne périurbaine
2082,Couronne périurbaine
2083,Couronne périurbaine
2084,Couronne périurbaine
2085,Couronne périurbaine
2086,Couronne périurbaine
2087,Couronne périurbaine
2088,Couronne périurbaine
2089,Couronne périurbaine
2090,Couronne périurbaine
2091,Couronne périurbaine
2093,Espace rural
2094,Pôle urbain
2095,Pôle urbain
2096,Couronne périurbaine
2097,Espace rural
2098,Couronne périurbaine
2099,Couronne périurbaine
2100,Espace rural
2101,Espace rural
2102,Couronne périurbaine
2103,Espace rural
2104,Couronne périurbaine
2105,Couronne périurbaine
2106,Couronne périurbaine
2107,Espace rural
2108,Couronne périurbaine
2109,Espace rural
2110,Couronne périurbaine
2111,Couronne périurbaine
2112,Couronne périurbaine
2114,Pôle urbain
2115,Couronne périurbaine
2116,Espace rural
2117,Couronne périurbaine
2118,Couronne périurbaine
2119,Couronne périurbaine
2120,Couronne périurbaine
2121,Couronne périurbaine
2122,Couronne périurbaine
2123,Couronne périurbaine
2124,Couronne périurbaine
2125,Couronne périurbaine
2126,Espace rural
2127,Couronne périurbaine
2128,Couronne périurbaine
2129,Couronne périurbaine
2130,Couronne périurbaine
2131,Couronne périurbaine
2132,Couronne périurbaine
2133,Espace rural
2134,Pôle urbain
2135,Espace rural
2136,Espace rural
2137,Couronne périurbaine
2138,Couronne périurbaine
2139,Espace rural
2140,Espace rural
2141,Espace rural
2142,Couronne périurbaine
2143,Espace rural
2144,Couronne périurbaine
2145,Espace rural
2146,Couronne périurbaine
2148,Couronne périurbaine
2149,Couronne périurbaine
2150,Couronne périurbaine
2151,Couronne périurbaine
2152,Couronne périurbaine
2153,Couronne périurbaine
2154,Couronne périurbaine
2155,Couronne périurbaine
2156,Couronne périurbaine
2157,Pôle urbain
2158,Couronne périurbaine
2159,Espace rural
2160,Espace rural
2162,Couronne périurbaine
2163,Couronne périurbaine
2164,Couronne périurbaine
2165,Pôle urbain
2166,Couronne périurbaine
2167,Couronne périurbaine
2168,Pôle urbain
2169,Espace rural
2170,Couronne périurbaine
2171,Couronne périurbaine
2172,Couronne périurbaine
2173,Pôle urbain
2174,Couronne périurbaine
2175,Couronne périurbaine
2176,Couronne périurbaine
2177,Couronne périurbaine
2178,Couronne périurbaine
2179,Couronne périurbaine
2180,Couronne périurbaine
2181,Espace rural
2182,Espace rural
2183,Couronne périurbaine
2184,Couronne périurbaine
2185,Couronne périurbaine
2186,Couronne périurbaine
2187,Pôle urbain
2188,Espace rural
2189,Couronne périurbaine
2190,Couronne périurbaine
2191,Couronne périurbaine
2192,Couronne périurbaine
2193,Couronne périurbaine
2194,Espace rural
2195,Couronne périurbaine
2196,Couronne périurbaine
2197,Espace rural
2198,Couronne périurbaine
2199,Couronne périurbaine
